OriginStopId;DestinationStopId;Distance
50718;50716;6174
11832;11160;857
41106;41145;375
31588;31604;406
21917;21919;589
11769;11771;1348
50245;50873;508
30680;30678;329
40004;40137;725
22230;20490;179
30671;30673;348
31187;31189;364
30526;30524;379
11493;11495;239
12387;12453;298
10612;10613;535
10779;10783;1444
20260;20030;357
21410;21408;434
20868;20866;257
12724;12722;227
20609;20611;218
32021;32023;619
13476;13474;372
11778;11776;914
30220;30212;369
30525;31908;238
10803;11230;367
21737;21739;163
50166;50148;306
11932;11930;264
31423;31425;262
40468;40462;224
11552;11558;340
51336;51338;1625
30825;30827;312
50022;50020;522
10797;10799;361
50649;50693;1731
40299;40301;375
30323;30325;330
30901;30916;398
13978;13976;405
14220;11228;242
20831;20833;268
12092;12100;161
20913;20923;312
10986;10984;469
31264;31262;226
13824;13822;2831
20343;20339;423
20483;20485;265
31674;31676;637
11937;11939;184
40897;40899;718
12689;12631;149
20385;20338;192
12368;12367;494
22085;22087;273
13997;13999;253
10792;10790;1120
10240;10036;684
31070;31068;216
30110;30108;411
20735;20660;410
21002;20976;397
30708;30706;407
30255;30008;538
50032;50221;353
50578;50576;550
31233;31213;332
11353;11355;282
21125;21133;554
40530;40528;202
30300;30283;263
10407;10409;410
11005;11007;617
20985;20987;505
14357;11874;807
20489;22035;2126
10066;10121;802
21583;21585;227
20024;20192;373
40507;40509;193
31520;31522;277
20637;20639;596
10430;10428;183
31418;31416;321
11376;11374;233
12121;12135;270
13996;11805;135
12080;12060;719
51350;51352;7524
20999;21001;309
11266;11270;406
30253;30229;448
20053;20055;527
31215;31217;298
20673;21999;263
12892;12890;376
13893;13888;1823
10937;10939;408
10469;11875;215
20773;20783;529
12014;12012;320
30839;30841;349
50723;50725;190
50008;50006;375
11022;11162;372
20184;20024;439
31303;31309;419
12728;12724;227
20026;20183;673
100047;100042;7093
21945;21947;493
32002;32000;2047
12168;12166;285
30685;30687;134
50864;50600;387
10561;10563;574
11758;13730;1958
10562;50713;368
20994;20992;283
12521;12523;164
30916;30914;488
31432;31430;271
13621;13623;747
12883;12885;479
13037;13039;307
20632;20630;223
10240;10013;661
40892;40890;277
21327;21348;738
10128;10061;850
11154;11152;454
41038;41023;1135
12675;12677;338
21578;21576;431
21062;21060;352
50954;50952;513
40572;40550;192
1000224;1000223;4184
21995;21990;87
10638;10636;226
22524;22522;373
11000;10998;234
21207;21209;273
13189;10503;141
10252;10248;295
51316;51314;1941
10322;10126;525
40738;40736;389
40521;40523;400
31738;31736;1934
13565;13567;351
20548;20546;305
12717;12719;159
13602;13600;3183
22050;20339;241
13719;13721;241
21550;21548;371
10322;10046;662
12413;12453;311
10323;10325;276
50050;50048;352
11714;11716;264
13863;13849;221
21128;20086;1016
10617;10625;802
41217;41219;330
50862;50864;299
31585;31583;268
12563;12565;370
13332;10953;559
40404;40402;398
10902;10900;4520
12459;12511;294
30219;31834;334
21513;21515;226
11904;11902;340
12021;12023;217
50013;50015;245
10424;10338;696
22057;22059;361
10032;10103;1557
13259;13261;335
21610;21606;389
11479;11481;356
31005;31007;130
11854;11862;626
40369;40371;275
12210;12208;493
10460;10430;1327
40014;40012;292
31855;31857;461
11602;11578;240
50592;50590;248
20242;20240;248
10867;10869;625
30140;30253;481
40215;40217;190
10666;10664;549
21704;21702;612
12363;12338;131
20088;20086;1090
40986;40966;426
20082;22423;2761
13955;13957;954
40243;40391;414
50319;50321;266
10713;10715;213
10259;10285;438
10171;10173;354
12752;12750;337
10336;10332;330
30157;30159;317
30874;30886;695
40948;40946;426
100029;1000210;2007
21751;21753;146
10605;13181;185
21878;21975;2126
12140;12138;261
11631;11633;176
40435;40677;231
11121;11095;562
31126;31124;326
12516;12514;258
13496;13919;1387
12990;12988;357
12257;12259;412
30873;30885;737
50097;50099;295
13847;13861;238
10641;10651;489
20971;20973;411
30972;30970;189
50287;50285;178
21055;21057;410
21856;21854;284
10290;10288;303
20205;20207;236
31808;31806;297
21667;21669;212
20359;20361;341
12173;12175;202
13635;13637;1190
11433;11437;194
21545;21393;481
40759;40761;332
50718;50699;1293
31524;30608;534
21634;21632;223
10583;10581;393
50968;50966;453
20856;22011;334
1000219;1000220;1602
50167;50169;194
11056;11054;542
21876;21898;341
21537;21541;239
40318;41300;383
11089;11091;425
20341;21994;1213
21117;21132;603
20464;20462;698
31289;31295;446
50272;50270;317
12896;12892;301
22036;20488;2660
40644;40657;226
11143;11113;981
10736;10734;279
31969;31966;2315
100026;100025;1593
50426;50424;758
31960;31958;871
50333;50335;248
21174;21172;191
10447;10460;1030
20887;20889;290
40661;41224;445
21144;21216;4243
21540;21536;214
11590;14300;284
14163;14162;1128
50454;50432;340
50189;50207;401
12341;12343;204
51335;51337;385
50389;50391;212
20074;20072;443
40182;40180;233
13000;13006;980
22469;22467;1857
1000234;1000221;2386
14228;14226;642
13616;13932;335
40780;40778;294
11138;11130;644
20135;20137;359
12939;12941;243
20469;20468;299
11737;11735;381
21681;21683;266
21889;21891;289
30820;30818;975
21687;21699;519
13472;11265;397
50625;50627;1410
12647;12649;155
30902;30917;273
40628;40626;150
11196;11194;877
30206;30204;316
20640;20488;1169
41203;41205;279
12920;12918;269
20966;21133;1157
11123;10963;297
21942;22407;432
20525;20527;263
50298;10204;925
12549;12551;85
10834;10832;235
30607;31523;488
50543;50545;332
12493;12495;164
50027;50029;422
21320;21497;1216
40242;40238;198
21527;21529;231
10128;10067;732
21973;21975;453
31482;31479;414
11918;11916;265
12095;12098;381
22349;22351;340
11187;11189;288
21536;21534;349
40418;40416;260
20030;20165;702
30927;30930;160
50036;50034;402
50982;50980;401
11728;11730;180
12703;12705;182
30652;30650;216
40803;40817;479
50041;50295;331
41065;41067;194
20565;20581;667
21258;21256;465
20312;20310;451
10820;10818;547
100039;100038;1205
50473;50475;125
21518;21392;344
11764;11762;281
40839;40849;255
20595;20597;198
20866;20085;225
10052;10101;583
50119;50529;429
11042;11040;277
21903;21905;268
41004;41002;544
12271;12273;297
10063;10123;933
13434;13432;301
51066;51064;262
21620;21618;293
50120;50118;538
12117;12119;184
13072;13070;232
30298;30140;1614
12633;12635;154
11874;10472;425
12347;12419;268
30546;30548;374
31571;31569;499
40814;40816;220
31243;31245;191
21711;21725;1295
50403;50405;722
12754;12220;217
31600;31601;306
20816;20832;206
10786;10780;463
31535;31537;348
40935;40999;383
11834;11832;1540
21562;21554;296
20337;20343;553
51150;51148;159
10128;10064;785
11852;20135;5996
10958;10956;840
11460;11458;291
20798;20796;270
31747;31744;163
11617;11619;195
41034;41024;296
30638;30636;274
40962;40960;174
31140;31138;316
11798;11780;655
10984;11116;209
21648;21646;273
100036;100037;1364
12850;12848;303
30462;30484;373
13509;13511;3290
12619;12621;210
11423;11425;702
20040;11890;257
30851;30787;228
10574;10576;263
40266;40264;390
12967;12969;221
12876;12888;241
11075;11077;341
10881;10883;184
30407;30409;336
100035;100036;1630
40102;40009;171
30991;30993;225
10934;10990;442
11465;11467;290
11694;11692;1201
30755;30757;502
20162;20158;459
31770;30372;538
31339;31341;169
50106;50104;518
50536;50534;329
22014;22010;170
51085;51084;497
40365;40369;282
10009;10241;861
30529;30539;474
21126;21993;602
30220;31841;414
20334;20328;429
40619;40621;181
40832;40855;443
11229;11231;309
10091;10211;483
21842;21840;1619
51297;51294;325
20952;20950;336
30641;31544;569
12259;12267;245
30643;30645;241
12696;12694;188
21994;20340;1255
21929;21939;490
50802;50800;402
12007;12009;226
22038;22036;357
20340;20384;1054
40070;40068;483
13927;13929;431
30026;30024;332
20060;20058;1363
40300;40726;433
11853;11855;622
12577;12579;219
20214;20212;157
31599;31597;3188
50064;50062;345
12159;12158;133
30596;30594;228
10722;10720;290
13705;13707;2617
10839;10841;377
12042;41148;215
20679;20681;194
20534;20532;202
50208;50190;272
31687;31689;440
10848;10846;230
12806;12792;601
11436;11432;277
12893;12937;236
11418;11416;227
31545;10470;807
10617;11873;987
51196;50428;761
30059;30061;438
22001;22003;216
21884;21882;302
10240;10010;653
20910;20908;261
10369;11989;273
40035;40037;256
21619;21611;2384
100048;100046;10000
10143;10145;386
12586;12584;196
12070;12068;267
50417;50419;483
31367;31369;374
40577;40579;298
40355;40357;258
31482;31476;415
10869;11613;162
13608;13928;281
31272;30009;339
30379;30381;1490
100041;100046;4555
10349;10385;563
100025;100024;5653
11890;11888;438
21417;21419;196
10110;10108;373
30792;30790;637
22274;21064;419
11201;11203;411
31246;31329;132
50006;50891;621
21778;21797;349
12465;12467;294
51001;51003;145
31334;31332;347
40200;41172;357
20968;20978;354
30764;30762;167
31362;31360;248
10251;10613;360
30262;30260;417
31516;31514;365
40432;40430;288
20576;20574;232
30817;30869;345
10329;10415;685
31202;31190;235
10129;10357;552
10362;13343;614
30610;30608;382
11084;11082;529
11019;11161;602
12544;12562;371
13854;13838;2847
10962;11104;319
30544;30560;487
13691;13693;336
30539;30671;876
50078;50076;106
21136;21132;455
30704;30332;830
11876;11874;345
11278;11276;1202
13341;10363;551
50676;50674;424
10699;10701;391
30977;30979;254
12822;12820;392
31864;31862;388
100044;100041;963
50277;50279;310
21848;21870;269
50793;50795;397
21067;21066;172
12224;12222;296
31844;31838;974
20929;20931;286
21346;21368;240
21445;21447;603
10213;10235;1441
21523;21527;381
12976;12974;205
10121;10087;839
21793;21795;273
30923;30925;206
11489;14307;299
11807;13995;454
11432;11430;125
21639;21641;320
10677;10763;1258
40720;40714;227
50083;50085;421
21875;21877;296
14270;14268;318
10967;11233;664
31016;31853;484
40430;40101;475
50095;50523;315
12215;12509;364
40494;40496;292
13329;13331;276
31502;31500;181
40919;40917;248
50615;50629;811
13551;13553;652
30474;30464;345
12605;12607;202
10568;10566;202
40600;40598;330
21662;21660;355
12229;12231;162
20659;20657;368
21132;21130;340
22377;22379;313
21277;21279;125
50440;50438;1112
11070;11068;469
20433;20439;187
11215;11217;1424
20818;20760;367
31493;31495;201
40734;40210;260
20097;21319;726
50069;50071;422
20154;20008;326
50900;10134;942
50816;50814;302
12198;12062;380
20260;20027;311
12621;12214;166
30769;30771;279
13546;13544;1380
12781;12805;358
31020;31022;202
40591;40593;283
50807;50809;301
10949;10945;889
100021;100022;5205
50291;50293;222
51169;51171;1356
12600;12598;211
12084;12082;300
40229;40231;429
10952;13333;524
100045;100048;3463
50223;50225;303
30006;31271;495
11437;11439;119
50662;50660;292
20553;20555;119
40092;40126;606
31932;31930;300
12238;12236;264
30040;30038;395
30185;30187;291
31546;11891;757
10047;10101;687
20290;20295;203
40518;40064;315
30043;30045;497
30928;30926;87
11402;11400;563
50894;50009;416
20354;20352;270
10429;11887;1057
10363;10365;197
13445;13439;2311
14221;14223;248
31741;31743;1418
13562;13560;437
11112;11142;992
30893;30895;481
10054;10101;547
12671;12695;338
50010;50008;470
50669;50671;464
12677;12679;323
10255;12267;710
40423;41095;85
31082;31140;153
13256;13254;419
20165;20167;209
50901;50009;390
31090;31104;309
30056;30052;424
22005;21893;1043
12217;12219;340
31328;31245;137
20048;20046;212
20154;20005;293
51213;51215;364
21808;21790;163
10322;10072;797
30934;30332;537
50326;50054;957
11827;11829;228
12829;12831;157
32084;32082;744
50363;50365;201
41114;41095;262
22323;22325;2396
50823;50825;836
20223;20231;496
10971;11115;1812
21957;21961;611
12983;12985;246
22293;21931;676
11843;11831;589
21557;21559;267
13952;13950;556
20965;20977;197
31223;31227;490
50057;50059;1513
51059;51061;391
11697;11701;191
31388;31386;314
50316;50314;187
12523;12525;177
20258;20262;301
12335;12364;117
10093;10211;513
13609;13611;383
31659;31661;226
10281;10283;401
11012;11010;926
100043;100046;5944
30809;30811;695
50753;50755;386
41104;41106;213
12759;12761;250
40666;40137;269
30462;30032;293
12913;12915;356
14300;11470;249
22059;20338;449
30771;30851;372
10127;10129;618
1000235;1000234;1256
11232;10966;665
50754;50742;266
11698;11702;2956
10790;10788;445
13714;13712;538
31435;31437;324
10384;10350;336
13716;11739;1149
21746;21744;253
10333;10423;732
21237;21239;244
30200;30134;310
11486;11484;313
50246;50244;364
11640;11638;191
40167;41167;542
10011;10241;870
12368;12318;277
30739;30741;617
30164;30162;493
31292;31273;618
21391;21459;309
22410;20392;425
22300;20932;570
30963;30965;226
40561;40563;272
50695;50685;319
21933;21935;198
30302;30300;277
31450;31432;207
31472;31470;260
50433;50435;566
50942;50940;329
30771;30768;261
10977;10979;1166
12406;12404;229
40682;40680;162
50975;50977;1400
50400;50398;411
50877;50876;336
20695;20697;176
30670;30672;372
50330;50328;638
20683;20697;180
21911;22129;145
10893;10895;3042
30706;30704;417
50043;50045;437
10518;10506;325
12890;12876;323
51143;51145;2520
1000221;1000220;1806
31365;31367;223
12147;12149;206
30419;30421;191
31458;31456;310
11026;11024;232
20924;20939;475
40813;40403;249
50176;50174;497
40241;40243;278
10739;10741;315
11877;30149;394
51082;51080;250
40071;40124;410
21096;21092;191
20345;20341;614
21765;21764;2583
30517;30519;301
13542;13539;889
13882;13880;261
20828;20826;183
31852;31015;472
13595;13597;402
22071;22070;298
20886;20086;1121
11558;11602;363
12049;12051;278
50989;50991;610
31192;30308;316
41126;41124;91
12880;12878;350
13785;13783;196
31131;31082;301
12336;12334;304
30573;30575;195
51295;51297;363
31825;31827;220
11995;11997;130
12490;12488;233
20913;20914;87
21274;21272;310
30725;30727;297
100046;100041;4555
13088;13086;303
12268;10254;513
30534;30508;411
11626;11624;253
10072;10323;1188
50622;50620;979
51286;51289;1755
21849;21851;517
10656;10678;652
50523;50097;394
20857;20858;313
13728;13726;2204
13077;11106;3225
50755;50391;503
20756;20762;143
40103;40105;293
30879;30881;1034
51351;51353;1602
12782;12780;133
11780;11778;1956
20095;20097;451
30127;30129;179
21984;21982;753
40826;40825;517
20151;20153;457
13485;10951;823
21524;21396;371
11983;11977;143
11696;11694;873
11911;11913;240
30942;30940;292
100044;100047;5944
11757;11759;2051
21554;21518;229
31364;31420;109
50653;50683;460
11603;11559;287
50566;50564;651
12287;12289;390
31933;31419;482
31096;31094;170
10715;11253;197
12741;12742;298
20081;20083;334
20457;20459;562
21250;21209;337
13511;13513;267
21335;21337;191
21251;21253;520
40325;40327;301
12664;12635;332
11388;11386;138
41210;41208;398
50414;50412;716
21627;21629;193
30057;30059;1073
31449;31451;345
31424;30373;136
50482;50480;194
50006;50905;662
31811;31813;313
51073;51075;136
31965;31967;293
30349;30351;1409
12203;12205;206
10956;10954;443
11472;11470;265
40498;41088;286
40641;40645;305
51281;51283;261
10429;30101;1918
21561;21555;259
40289;40295;244
10618;12198;545
31528;31526;321
31012;31010;266
40988;40986;294
50006;10656;12720
21405;21407;728
30667;30528;712
21697;21699;1150
30947;30946;161
40255;40257;475
21389;21511;470
10327;10333;641
40783;41151;388
10121;10093;742
20082;20751;2616
40764;40762;360
14169;14166;174
10517;10519;303
12866;12864;268
13441;13443;3959
20191;20353;729
12656;12654;257
50419;50421;361
31680;31678;1790
12273;12275;286
31028;31015;662
100046;100044;5389
11960;11958;429
12969;12971;150
21970;21928;306
22456;22454;1156
10615;10617;382
20967;20985;323
31563;30761;427
31491;31493;167
20452;20450;251
41154;41152;264
11304;11302;221
31834;31832;263
50071;50073;395
12308;12306;158
10963;10965;396
21997;21995;283
40960;40958;288
21351;21365;1427
31027;31025;307
30636;30634;329
12579;12581;194
21200;21143;2705
50496;50494;172
30024;30022;245
21156;21144;620
20758;20756;271
21760;21758;531
40058;40738;433
20582;20578;253
30254;30136;576
12231;12233;334
14165;14167;6515
20658;20661;258
31332;31330;234
10108;10106;640
50148;50146;335
20310;20170;304
40812;40814;234
50655;50657;932
31645;31647;146
21326;21372;354
12119;12121;91
30790;30788;527
40866;40092;295
12576;10628;611
20062;20060;1851
50080;50124;314
11174;11234;521
20384;20368;214
12467;12469;369
21399;21523;126
11040;11038;1116
11990;10368;482
30164;30228;550
10322;10052;793
22327;22324;4091
11416;11414;219
30405;30407;388
22029;20923;311
21529;21531;220
11194;11192;283
14118;14116;1169
50538;50536;402
40967;40935;339
12226;12224;251
30904;30748;276
10215;10235;1423
12062;12058;469
20854;22423;600
22379;22381;179
40199;40201;376
22372;22470;256
10359;10363;946
13548;13546;1650
30594;30592;516
20164;20160;466
30377;30379;318
50346;50333;829
50066;50064;481
10455;10430;1304
30748;30746;638
11073;11075;443
14306;11486;353
21150;21160;328
100034;100035;1036
12852;12850;202
21683;21685;306
40348;40346;254
10533;10504;348
11055;11059;642
12113;12085;290
21827;21813;842
30547;30040;343
10572;10574;395
10874;10872;519
11045;11047;272
50648;50680;1159
30260;30258;199
10177;50902;603
11131;11139;607
21650;21648;359
40742;40738;309
20912;20910;177
51199;51201;278
10406;10388;292
30052;30050;1076
11445;13879;3721
50650;50648;2658
11855;11857;1194
40932;40930;507
11236;11174;224
11082;11080;317
11875;31546;417
12843;12845;272
40106;40670;334
40416;40414;316
11891;30137;657
20954;20952;164
11227;11229;964
12864;12604;354
14160;14158;5363
30463;30471;356
10720;10718;302
31851;31014;332
20067;20069;281
100033;100034;775
31574;31576;1366
31101;31103;152
22011;20821;222
21384;21382;725
21792;21808;284
30255;30017;554
21641;21643;384
50009;50147;906
21003;22079;310
20635;20665;276
12277;12363;259
41296;40244;271
40589;40591;248
20791;20793;320
50684;50692;346
30921;30923;199
20945;20947;233
30707;30061;983
50678;50676;640
12791;12805;204
10581;10579;529
12086;12084;190
13032;13030;289
12332;12369;508
11647;11649;164
50447;50449;254
31018;31020;166
20837;20834;165
31862;31860;279
11700;11696;522
30992;31003;149
50099;50101;334
31678;31641;1064
21886;21884;741
100024;100023;12065
20926;20924;165
13693;13695;281
20211;20483;747
20772;20770;485
31500;31498;124
10837;10839;558
11199;11201;352
20192;20188;297
20490;20493;218
31025;30290;513
50629;50617;2373
30001;30272;852
12240;12238;191
40937;40939;543
11699;11712;358
21501;21503;328
31129;31131;195
11756;13770;935
12940;12942;165
11435;11437;144
20578;20576;336
31477;31479;188
12637;12568;271
30531;30533;307
13505;13517;350
13543;13686;3038
40934;40987;225
30183;30185;251
10065;10123;977
11109;11141;633
30753;30755;374
40237;40241;237
11068;11066;520
50809;50811;383
10846;10844;584
40391;40395;291
11222;11220;481
31631;31633;1417
20833;20815;179
30029;30031;187
40951;40953;554
10948;10950;1424
12421;12422;194
12453;12455;218
41224;40661;604
40015;40019;484
12646;12619;333
41096;41102;209
11878;11876;384
12824;12822;119
20645;22323;942
40222;40220;392
12367;12331;299
21664;21662;341
20161;20185;376
20786;20784;180
21148;21146;346
11421;11423;428
13553;13555;375
21732;21730;259
10723;11257;264
31281;31423;1182
30762;30760;237
10426;10418;870
11003;11145;412
20202;20200;290
21726;21714;1314
30101;30298;710
31124;31122;232
21845;21869;815
11213;11215;214
10697;10699;356
11103;11005;712
31597;31595;1155
21798;21778;369
30608;30606;305
10074;10549;685
31853;31855;347
10629;10631;523
20684;20678;448
20966;22143;1016
12462;12460;204
11430;11428;368
40824;40837;222
11059;11061;624
10660;30511;23387
100038;100037;1075
22153;21997;265
12315;12323;366
21669;21671;260
13919;13332;2259
12212;12210;215
31430;31428;398
21515;21517;342
21926;21938;740
12840;12824;271
20856;20854;363
50204;50202;309
20187;20165;501
22087;21033;668
21624;21614;212
20819;20821;254
12908;12906;176
21858;21856;378
41063;41065;1165
41215;41217;384
50293;50292;224
30428;30426;188
50015;50017;244
30545;30547;380
21398;21396;615
100037;100036;1364
10102;10030;1212
10358;10356;490
30038;30036;680
13604;13602;819
31736;31734;558
50475;50477;332
10748;10746;622
21975;21977;903
40519;40521;167
31241;31243;213
30239;30241;152
20973;20975;362
20061;20425;553
40946;40944;335
21149;21273;513
10961;11123;517
12175;12177;328
31040;31038;106
11208;11206;150
12411;12413;190
50510;50508;452
51171;51173;328
12635;12637;379
21209;21211;286
20207;20209;411
51206;51204;487
20466;20464;420
11633;11635;205
50169;50171;244
11290;11288;145
21867;21821;428
40122;40085;670
1000218;1000219;1597
20321;20335;740
20873;20783;510
10362;13349;430
21057;21059;472
50251;50253;201
41016;41014;383
40757;40759;211
20707;20706;196
40356;40350;403
20429;20431;369
12239;12240;230
12258;12260;318
31926;31402;245
14324;13852;679
1000217;1000218;1844
11293;11277;1374
21829;21861;1649
12947;12896;169
20361;20363;550
21181;21180;155
11939;11941;325
11444;11442;146
21698;21417;992
11477;11479;224
51140;50944;332
21028;21027;165
20555;20554;153
31514;31512;452
10970;10968;2453
20550;20548;258
11407;11409;783
13980;13978;377
30060;30346;909
50984;50982;301
12518;12516;425
11716;11718;1474
12369;12405;235
11598;11596;205
10020;10143;543
10711;10713;223
22295;22297;133
40924;31540;506
13721;13723;352
30155;30157;208
10865;10867;504
50288;50286;176
21094;21994;434
10169;10171;299
10832;10830;262
10428;10426;219
40166;40164;212
10965;11105;1654
31360;31358;363
12294;12292;188
41178;40199;456
12434;12432;233
100047;100048;10278
12727;12731;233
14336;12647;301
10256;10611;628
12649;12651;196
13686;11102;3942
13276;11266;647
11682;11680;876
20154;20002;274
50795;50797;376
20597;20599;293
30225;30227;261
50451;50517;555
41147;41149;274
10673;13209;1011
30804;30802;185
40370;40364;222
21195;21197;292
40180;40178;294
20004;20153;758
50006;10659;11999
51276;51274;348
21022;21020;219
50274;50272;297
20536;20534;125
31806;31804;277
10322;10075;847
51220;51218;214
11185;11187;2604
51338;51340;3817
12941;12943;229
40309;40299;764
10126;10102;874
13856;13840;228
30477;30428;203
30578;30584;201
21636;21634;196
41136;41116;204
20826;20858;1413
10795;10797;520
21176;21174;170
12142;12140;308
12343;12345;224
13074;13072;219
40578;40068;417
21146;21158;867
20341;21985;1649
13436;13434;2829
11087;11089;373
30498;30496;165
31904;31902;369
14309;13851;368
50400;50484;378
14158;13858;573
21200;21140;334
50428;50426;1068
12942;12890;237
100023;100022;8301
51068;51066;1688
31049;31063;221
50190;50188;232
51290;51288;836
11307;11208;1606
10818;10816;336
10664;10662;515
41201;41203;445
10879;10881;299
50405;50407;335
50591;50597;448
31311;31313;228
20198;20184;311
20031;20183;640
21905;21907;236
12116;12060;510
21763;22337;270
22370;22373;4341
20244;20242;185
31569;31567;331
10782;10724;406
31026;31021;286
13330;13332;398
10469;31546;632
12565;12567;217
13887;13889;281
20699;20682;189
21000;20976;195
20681;20683;190
22387;22385;107
